LESTE,NORTE,TOPO,FA
526228,7191184,876.385131835938,31.0293718655167
526228,7192082,868.486389160156,31.7268943228876
526228,7192980,866.2353515625,32.3631316066188
526228,7193878,874.895874023438,32.8650439000607
526228,7194776,892.414855957031,33.2995690746284
526228,7195674,898.788818359375,33.5435775724252
526228,7196572,896.095825195313,33.7039297089477
526228,7197470,899.915710449219,33.6679040446542
526228,7198368,895.905639648438,33.5569526963571
526228,7199266,886.91796875,33.2582236386006
526228,7200164,885.483520507813,32.8978279366134
526228,7201062,881.20556640625,32.4427610203481
526228,7201960,870.642700195313,31.9612616852814
526228,7202858,872.6650390625,31.2752188560118
526228,7203756,878.843933105469,30.5414117492498
526228,7204654,854.733520507813,29.8452962797231
526228,7205552,825.037719726563,29.1563792130637
526228,7206450,822.040832519531,28.4275663188279
526228,7207348,838.125366210938,27.6927179019588
526228,7208246,860.360534667969,27.0679948380825
526228,7209144,858.007080078125,26.4558419137539
526228,7210042,838.78515625,25.9559999705461
526228,7210940,831.487121582031,25.4650673118985
526228,7211838,827.687255859375,25.0233510324474
526228,7212736,839.353637695313,24.5839292228889
526228,7213634,856.694885253906,24.1959348831632
526228,7214532,860.314575195313,23.8106195439711
526228,7215430,859.600524902344,23.5629692856673
526228,7216328,861.086853027344,23.3182989996285
526228,7217226,878.208679199219,23.1410701911632
526228,7218124,893.523620605469,22.9576316219107
526228,7219022,891.395629882813,22.6932721073996
526228,7219920,887.829467773438,22.4341733841356
526228,7220818,878.369995117188,22.2223048756231
526228,7221716,870.185974121094,22.0051739227427
526228,7222614,867.363525390625,21.7525668362796
526228,7223512,856.864135742188,21.5012259800778
526228,7224410,842.521667480469,21.2566264624509
526228,7225308,833.116333007813,21.0210177253885
526228,7226206,832.900024414063,20.824476070541
526228,7227104,845.602355957031,20.6220777658357
526228,7228002,861.7470703125,20.3984264637078
526228,7228900,872.146484375,20.1770058109505
526228,7229798,872.195861816406,19.9624596139806
526228,7230696,856.79248046875,19.7476346996015
526228,7231594,835.630798339844,19.5320710707881
526228,7232492,823.252197265625,19.3467812356057
526228,7233390,821.964477539063,19.2311656460593
526228,7234288,838.241516113281,19.1745754369843
526228,7235186,837.288024902344,19.2368282758384
526228,7236084,816.662841796875,19.3230042710451
526228,7236982,826.451354980469,19.451562648185
526228,7237880,849.390258789063,19.6148807936827
526228,7238778,848.351989746094,19.8326228050664
526228,7239676,863.190551757813,20.0891596726629
526228,7240574,910.428466796875,20.3995553565976
526228,7241472,936.681579589844,20.7871611369388
526228,7242370,940.4609375,21.2700311158314
526228,7243268,917.087097167969,21.7777474328199
526228,7244166,884.709655761719,22.3127482799606
526228,7245064,887.076416015625,22.853494694056
526228,7245962,901.671142578125,23.399860120768
526228,7246860,926.708923339844,23.8682318148549
526228,7247758,941.996459960938,24.2686839667806
526228,7248656,909.741821289063,24.4116378978854
526228,7249554,874.803283691406,24.3551070413185
526228,7250452,861.66015625,24.2635185460774
526228,7251350,852.679260253906,24.1478114497936
526228,7252248,850.083312988281,23.9180416509505
526228,7253146,848.268371582031,23.6187712806556
526228,7254044,841.163024902344,22.9774250974688
526228,7254942,841.056884765625,22.1521545902272
526228,7255840,849.538757324219,21.332125125074
526228,7256738,855.522888183594,20.5145701191363
526228,7257636,848.832397460938,19.6265531162977
526228,7258534,834.337829589844,18.7095093159936
526228,7259432,825.355834960938,17.7192160421068
526228,7260330,835.584350585938,16.7028096628339
526228,7261228,857.032836914063,15.7516817128657
526228,7262126,860.271057128906,14.8204788648654
526228,7263024,861.747985839844,14.0820315757342
526228,7263922,878.623596191406,13.3932579880482
526228,7264820,879.132507324219,13.0225294979438
526228,7265718,881.190979003906,12.7197079340799
526228,7266616,897.325134277344,12.4976134820809
526228,7267514,904.817932128906,12.2894302295155
526228,7268412,877.293212890625,12.1775873470297
526228,7269310,842.310119628906,12.0786385039738
526228,7270208,846.144714355469,12.0819956926636
526228,7271106,835.105834960938,12.0953583612308
526228,7272004,815.850708007813,12.1501958291419
526228,7272902,828.680480957031,12.207686897959
526228,7273800,815.527893066406,12.2470882629282
526228,7274698,784.179443359375,12.2859074305322
526228,7275596,769.099792480469,12.2863954177976
526228,7276494,766.0048828125,12.286236894588
526228,7277392,768.83984375,12.2656504493262
526228,7278290,769.587646484375,12.2468619577085
526228,7279188,781.099609375,12.2585667598936
526228,7280086,783.955078125,12.2806756060462
526228,7280984,771.633605957031,12.415312401426
526228,7281882,780.657653808594,12.5672140002376
526228,7282780,809.225891113281,12.8538487709296
526228,7283678,802.616149902344,13.1592142041007
526228,7284576,779.013793945313,13.577256278747
526228,7285474,785.455139160156,14.011360012735
526228,7286372,807.407348632813,14.5230603347117
526228,7287270,833.502990722656,15.0504633683509
526228,7288168,854.951171875,15.6405027740665
526228,7289066,853.6279296875,16.2307704505578
526228,7289964,833.620300292969,16.8218049395579
526228,7290862,816.877746582031,17.419133367641
526228,7291760,800.852600097656,18.0345297415405
526228,7292658,790.307312011719,18.5629477717732
526228,7293556,799.000122070313,18.8756055696546
526228,7294454,811.939758300781,19.0880113619937
526228,7295352,831.213317871094,19.0836751423505
526228,7296250,858.769226074219,18.9978044439448
526228,7297148,862.980224609375,18.757281250338
526228,7298046,853.589111328125,18.4596282391912
526228,7298944,845.448364257813,18.06641880704
526228,7299842,843.961669921875,17.6228548784288
526228,7300740,845.479553222656,17.1047329108605
526228,7301638,835.970092773438,16.5808573549456
526228,7302536,817.430297851563,16.0494190926987
526228,7303434,794.541076660156,15.5486864321558
526228,7304332,778.552612304688,15.0838511417209
526228,7305230,756.19482421875,14.6683740832947
526228,7306128,738.237854003906,14.3042744572775
