,LESTE,NORTE,CMA,RTP
54,677777.0,7184161.0,26.7640800476074,-276.02727147649006
55,677777.25,7184161.0,29.5055484771729,-285.8080117508425
56,677777.5,7184161.0,31.946361541748,-304.10344826005536
57,677773.0,7184161.25,-24.6384391784668,-371.7584860356996
58,677773.25,7184161.25,-21.6301155090332,-381.3729432989416
59,677773.5,7184161.25,-20.9558143615723,-396.19892338971283
60,677773.75,7184161.25,-22.847749710083,-378.1758196156421
61,677774.0,7184161.25,-26.4771842956543,-393.868618703012
62,677774.25,7184161.25,-30.3338184356689,-393.92629389706315
63,677774.5,7184161.25,-31.5284805297852,-355.5143986056554
64,677774.75,7184161.25,-30.8899059295654,-295.20771508402095
65,677775.0,7184161.25,-36.0615386962891,-216.35071847849045
66,677775.25,7184161.25,-38.4275398254395,-137.89775363820604
67,677775.5,7184161.25,-32.4473419189453,-110.27763288076449
68,677775.75,7184161.25,-18.7944946289063,-68.99992456851831
69,677776.0,7184161.25,-6.80076742172241,-51.12766939744769
70,677776.25,7184161.25,3.55252265930176,-65.21788108560054
71,677776.5,7184161.25,9.81695365905762,-106.17923774080313
72,677776.75,7184161.25,13.7223148345947,-151.5593145830402
73,677777.0,7184161.25,17.4228172302246,-197.55677990379516
74,677777.25,7184161.25,21.9382762908936,-223.07508609957358
75,677777.5,7184161.25,26.075439453125,-254.83531337291703
76,677773.0,7184161.5,-32.8547325134277,-321.8258172172937
77,677773.25,7184161.5,-30.0052890777588,-325.50865846951035
78,677773.5,7184161.5,-30.5641975402832,-339.12584807413936
79,677773.75,7184161.5,-35.2808532714844,-329.0170367357778
80,677774.0,7184161.5,-42.4534225463867,-358.4763043181662
81,677774.25,7184161.5,-49.9203681945801,-376.95300736997234
82,677774.5,7184161.5,-55.573169708252,-361.2182630682412
83,677774.75,7184161.5,-60.741512298584,-318.6832530802626
84,677775.0,7184161.5,-69.0373840332031,-244.79979801103053
85,677775.25,7184161.5,-74.0343551635742,-159.35502002075947
86,677775.5,7184161.5,-67.4380874633789,-125.89426572136922
87,677775.75,7184161.5,-46.8782119750977,-71.3503510879763
88,677776.0,7184161.5,-30.7650966644287,-19.863742440555484
89,677776.25,7184161.5,-15.0102586746216,-2.558457277225614
90,677776.5,7184161.5,-6.68282604217529,-28.227039557359717
91,677776.75,7184161.5,-0.304282248020172,-62.96296908988211
92,677777.0,7184161.5,6.10400772094727,-111.44129696791772
93,677777.25,7184161.5,12.5969505310059,-146.75588134458974
94,677777.5,7184161.5,18.4691047668457,-186.48355255484213
95,677773.0,7184161.75,-40.5595512390137,-193.09891400987087
96,677773.25,7184161.75,-36.5866546630859,-198.73656022012307
97,677773.5,7184161.75,-37.6611709594727,-221.0605392602464
98,677773.75,7184161.75,-44.7376823425293,-226.6520343013804
99,677774.0,7184161.75,-55.459789276123,-269.6020958305168
100,677774.25,7184161.75,-67.6574401855469,-296.82145291875827
101,677774.5,7184161.75,-79.3407135009766,-294.1990941368857
102,677774.75,7184161.75,-90.7982330322266,-264.107451054642
103,677775.0,7184161.75,-105.284660339355,-211.0487286878577
104,677775.25,7184161.75,-118.222434997559,-161.4286366739911
105,677775.5,7184161.75,-118.185699462891,-157.52685060713213
106,677775.75,7184161.75,-96.4129028320313,-99.95322881838155
107,677776.0,7184161.75,-67.8784790039063,-22.314988266024145
108,677776.25,7184161.75,-40.1287002563477,24.203576792386173
109,677776.5,7184161.75,-28.034049987793,29.707189914489476
110,677776.75,7184161.75,-17.6721134185791,21.39205628231747
111,677777.0,7184161.75,-7.63446426391602,-12.351141956184179
112,677777.25,7184161.75,1.83744287490845,-40.991883610528774
113,677777.5,7184161.75,10.4204921722412,-55.44425219727596
114,677773.0,7184162.0,-44.5812759399414,-101.87284093142632
115,677773.25,7184162.0,-40.1008644104004,-107.06407722328366
116,677773.5,7184162.0,-41.3824157714844,-137.30673750088954
117,677773.75,7184162.0,-48.8478584289551,-145.45278044872356
118,677774.0,7184162.0,-61.9262466430664,-185.18789481454496
119,677774.25,7184162.0,-78.4289627075195,-211.6296459472405
120,677774.5,7184162.0,-95.8763275146484,-218.78353914080395
121,677774.75,7184162.0,-112.302757263184,-202.36868935115103
122,677775.0,7184162.0,-135.490936279297,-183.87241443256312
123,677775.25,7184162.0,-161.656021118164,-186.0232338067853
124,677775.5,7184162.0,-174.087142944336,-214.84216408531745
125,677775.75,7184162.0,-150.676116943359,-162.3451509103221
126,677776.0,7184162.0,-113.534172058105,-65.31323981660381
127,677776.25,7184162.0,-81.0446472167969,-3.362556258799472
128,677776.5,7184162.0,-58.2448577880859,30.18770061267628
129,677776.75,7184162.0,-39.5376472473145,48.05663629418541
130,677777.0,7184162.0,-23.582067489624,37.778817720370064
131,677777.25,7184162.0,-9.50934600830078,21.922551889925373
132,677777.5,7184162.0,2.95721912384033,33.63670566718618
133,677773.0,7184162.25,-43.3340835571289,-26.111075599194407
134,677773.25,7184162.25,-37.8490180969238,-24.906006549068277
135,677773.5,7184162.25,-37.8135871887207,-49.1015143091736
136,677773.75,7184162.25,-44.5649528503418,-55.5128754999778
137,677774.0,7184162.25,-58.0231819152832,-87.43554206835415
138,677774.25,7184162.25,-76.0515441894531,-107.11149946086351
139,677774.5,7184162.25,-97.0290679931641,-108.25987344898743
140,677774.75,7184162.25,-115.581237792969,-102.49096558402191
141,677775.0,7184162.25,-148.03955078125,-114.74164447673103
142,677775.25,7184162.25,-189.099517822266,-168.01704796542242
143,677775.5,7184162.25,-214.731750488281,-238.3600795594753
144,677775.75,7184162.25,-193.066009521484,-199.71040649808964
145,677776.0,7184162.25,-150.173202514648,-109.08543509908232
146,677776.25,7184162.25,-116.348648071289,-37.98811562604754
147,677776.5,7184162.25,-86.688117980957,10.483305359126085
148,677776.75,7184162.25,-60.6843795776367,49.13133728057
149,677777.0,7184162.25,-38.5650825500488,58.768702335568086
150,677777.25,7184162.25,-19.3174362182617,56.12347624454025
151,677777.5,7184162.25,-2.60342001914978,81.30921293043276
152,677773.0,7184162.5,-36.6513061523438,55.81188099398567
153,677773.25,7184162.5,-29.1215667724609,67.37467134624976
154,677773.5,7184162.5,-26.7133750915527,56.42589060317759
155,677773.75,7184162.5,-31.0772533416748,59.27004109855654
156,677774.0,7184162.5,-40.8488159179688,45.967746589167035
157,677774.25,7184162.5,-52.6228103637695,43.74460031863491
158,677774.5,7184162.5,-67.519889831543,53.91268516335421
159,677774.75,7184162.5,-89.6602783203125,56.73342586739585
160,677775.0,7184162.5,-130.937866210938,24.240899381533715
161,677775.25,7184162.5,-186.719528198242,-53.538527700948016
162,677775.5,7184162.5,-231.696502685547,-132.3195499301955
163,677775.75,7184162.5,-212.390960693359,-133.48394190950378
164,677776.0,7184162.5,-174.122634887695,-79.9356613910372
165,677776.25,7184162.5,-138.005493164063,-25.600918036208412
166,677776.5,7184162.5,-104.239120483398,19.577151949387694
167,677776.75,7184162.5,-73.8899917602539,63.065136999666095
168,677777.0,7184162.5,-47.7027587890625,85.22138875348048
169,677777.25,7184162.5,-24.1880493164063,94.60145536588375
170,677777.5,7184162.5,-5.01790380477905,137.51014395642017
171,677773.0,7184162.75,-25.9302368164063,113.12807845862213
172,677773.25,7184162.75,-15.6568975448608,137.6427003916052
173,677773.5,7184162.75,-9.98487758636475,143.98793646761462
174,677773.75,7184162.75,-9.78920364379883,160.72057294553312
175,677774.0,7184162.75,-11.5887317657471,168.05075430270855
176,677774.25,7184162.75,-12.9942474365234,189.343134167772
177,677774.5,7184162.75,-17.9487113952637,218.27333704091018
178,677774.75,7184162.75,-35.0495491027832,236.07601768621288
179,677775.0,7184162.75,-74.2550659179688,210.9425659757866
180,677775.25,7184162.75,-129.357604980469,124.77182461823699
181,677775.5,7184162.75,-170.43879699707,47.9041603274894
182,677775.75,7184162.75,-174.638580322266,0.6382918569238427
183,677776.0,7184162.75,-155.283432006836,0.24265224340105362
184,677776.25,7184162.75,-130.601898193359,11.541141761040862
185,677776.5,7184162.75,-101.748382568359,36.144362675290864
186,677776.75,7184162.75,-73.2797393798828,70.6247138514573
187,677777.0,7184162.75,-46.9792976379395,94.12759593765162
188,677777.25,7184162.75,-23.1618137359619,106.92329219883358
189,677777.5,7184162.75,-3.59277868270874,156.52306527053096
190,677773.0,7184163.0,-12.4603404998779,155.83649057916693
191,677773.25,7184163.0,0.412522584199905,193.00467015031072
192,677773.5,7184163.0,10.3414058685303,217.53320339850504
193,677773.75,7184163.0,17.3703842163086,249.67735788742027
194,677774.0,7184163.0,25.6032981872559,281.7033308769431
195,677774.25,7184163.0,36.5251083374023,329.6505191118059
196,677774.5,7184163.0,45.5683937072754,381.25296985279635
197,677774.75,7184163.0,42.5857582092285,421.8046132578959
198,677775.0,7184163.0,15.5242071151733,419.48508966922043
199,677775.25,7184163.0,-34.8010101318359,342.7498563798561
200,677775.5,7184163.0,-69.8242263793945,248.41284709963583
201,677775.75,7184163.0,-88.1952209472656,165.3565503213699
202,677776.0,7184163.0,-95.5402526855469,109.72949712357419
203,677776.25,7184163.0,-94.0610275268555,76.64141786653613
204,677776.5,7184163.0,-78.6120834350586,67.21379991436655
205,677776.75,7184163.0,-59.2169532775879,81.11294492895153
206,677777.0,7184163.0,-38.3580551147461,97.33113894139028
207,677777.25,7184163.0,-18.5020275115967,111.58337510884652
208,677777.5,7184163.0,-2.62769174575806,167.62083353269472
209,677773.0,7184163.25,3.25785279273987,171.64577523345423
210,677773.25,7184163.25,18.2187976837158,217.9456036274408
211,677773.5,7184163.25,32.3900375366211,258.4926751184489
212,677773.75,7184163.25,46.2886199951172,301.94234431975354
213,677774.0,7184163.25,63.9027862548828,352.36934281827257
214,677774.25,7184163.25,87.3805236816406,420.75787072121636
215,677774.5,7184163.25,113.129524230957,493.08617341386037
216,677774.75,7184163.25,131.532409667969,564.0701177147612
217,677775.0,7184163.25,127.517967224121,600.5833737441069
218,677775.25,7184163.25,87.5424423217773,522.996147934036
219,677775.5,7184163.25,48.7690048217773,407.0971129372024
220,677775.75,7184163.25,16.5643348693848,279.53863646671783
221,677776.0,7184163.25,-15.6719522476196,191.41221521091467
222,677776.25,7184163.25,-35.4707832336426,126.10641192221757
223,677776.5,7184163.25,-40.4435157775879,83.29662946256704
224,677776.75,7184163.25,-35.9559173583984,77.05837877500235
225,677777.0,7184163.25,-24.6043548583984,80.87629058569713
226,677777.25,7184163.25,-10.4027147293091,90.1002829236176
227,677777.5,7184163.25,0.886427700519562,148.87707483773949
228,677773.0,7184163.5,20.0266628265381,197.92443188258383
229,677773.25,7184163.5,35.9211006164551,248.01550896674547
230,677773.5,7184163.5,52.9012565612793,299.82303778479195
231,677773.75,7184163.5,71.4223785400391,350.492846158042
232,677774.0,7184163.5,95.8912734985352,415.67782320603555
233,677774.25,7184163.5,129.309280395508,495.42948819598365
234,677774.5,7184163.5,169.301742553711,572.9682947935295
235,677774.75,7184163.5,207.342712402344,651.0642230175104
236,677775.0,7184163.5,227.519195556641,690.3213945713221
237,677775.25,7184163.5,187.097244262695,621.6680027737767
238,677775.5,7184163.5,143.774597167969,499.0690925378948
239,677775.75,7184163.5,96.0795822143555,361.88244782708625
240,677776.0,7184163.5,52.5592460632324,266.42385991645216
241,677776.25,7184163.5,19.5143642425537,182.96723720261085
242,677776.5,7184163.5,-1.007493019104,122.12959616253482
243,677776.75,7184163.5,-10.4313650131226,101.82544842332837
244,677777.0,7184163.5,-9.28943538665771,93.8566134341317
245,677777.25,7184163.5,-2.73884844779968,95.52040655771305
246,677777.5,7184163.5,5.54317378997803,154.448144350711
247,677773.0,7184163.75,35.930347442627,180.69476013466485
248,677773.25,7184163.75,51.3866958618164,227.82323104392606
249,677773.5,7184163.75,69.0021438598633,280.313033030005
250,677773.75,7184163.75,89.3262939453125,327.08364534782874
251,677774.0,7184163.75,117.730087280273,393.8442328460035
252,677774.25,7184163.75,155.942443847656,473.34473858033004
253,677774.5,7184163.75,200.297393798828,548.3807750920513
254,677774.75,7184163.75,240.427871704102,626.2424002496853
255,677775.0,7184163.75,257.472961425781,662.0551982042672
256,677775.25,7184163.75,225.169250488281,600.2402800597499
257,677775.5,7184163.75,185.509979248047,493.16300000216006
258,677775.75,7184163.75,141.44157409668,373.5247430447772
259,677776.0,7184163.75,98.9595336914063,281.04186626794024
260,677776.25,7184163.75,61.6629638671875,194.08893794691164
261,677776.5,7184163.75,33.1713562011719,123.53583379298661
262,677776.75,7184163.75,15.3807563781738,92.83912732655367
263,677777.0,7184163.75,7.68531703948975,74.90234040968873
264,677777.25,7184163.75,7.13149738311768,71.15865684084775
265,677777.5,7184163.75,12.4919319152832,121.45743691395495
266,677773.0,7184164.0,50.6937522888184,135.26419918403965
267,677773.25,7184164.0,64.0757827758789,174.42556339782575
268,677773.5,7184164.0,80.3710250854492,222.00660401723516
269,677773.75,7184164.0,99.9639053344727,260.39024864059843
270,677774.0,7184164.0,129.441497802734,318.40084158911463
271,677774.25,7184164.0,167.298065185547,383.48289756844827
272,677774.5,7184164.0,209.009399414063,444.30735103233565
273,677774.75,7184164.0,245.011703491211,512.524996483136
274,677775.0,7184164.0,259.377014160156,548.222009895544
275,677775.25,7184164.0,223.399307250977,507.0195025637677
276,677775.5,7184164.0,193.889511108398,431.3073350221515
277,677775.75,7184164.0,160.48291015625,340.4818848318706
278,677776.0,7184164.0,124.977195739746,259.8702984976121
