LESTE;NORTE;CMA
               677777;          7184162;     -23.582067489624
            677777.25;          7184162;    -9.50934600830078
             677777.5;          7184162;     2.95721912384033
               677773;       7184162.25;    -43.3340835571289
            677773.25;       7184162.25;    -37.8490180969238
             677773.5;       7184162.25;    -37.8135871887207
            677773.75;       7184162.25;    -44.5649528503418
               677774;       7184162.25;    -58.0231819152832
            677774.25;       7184162.25;    -76.0515441894531
             677774.5;       7184162.25;    -97.0290679931641
            677774.75;       7184162.25;    -115.581237792969
               677775;       7184162.25;     -148.03955078125
            677775.25;       7184162.25;    -189.099517822266
             677775.5;       7184162.25;    -214.731750488281
            677775.75;       7184162.25;    -193.066009521484
               677776;       7184162.25;    -150.173202514648
            677776.25;       7184162.25;    -116.348648071289
             677776.5;       7184162.25;     -86.688117980957
            677776.75;       7184162.25;    -60.6843795776367
               677777;       7184162.25;    -38.5650825500488
            677777.25;       7184162.25;    -19.3174362182617
             677777.5;       7184162.25;    -2.60342001914978
               677773;        7184162.5;    -36.6513061523438
            677773.25;        7184162.5;    -29.1215667724609
             677773.5;        7184162.5;    -26.7133750915527
            677773.75;        7184162.5;    -31.0772533416748
               677774;        7184162.5;    -40.8488159179688
            677774.25;        7184162.5;    -52.6228103637695
             677774.5;        7184162.5;     -67.519889831543
            677774.75;        7184162.5;    -89.6602783203125
               677775;        7184162.5;    -130.937866210938
            677775.25;        7184162.5;    -186.719528198242
             677775.5;        7184162.5;    -231.696502685547
            677775.75;        7184162.5;    -212.390960693359
               677776;        7184162.5;    -174.122634887695
            677776.25;        7184162.5;    -138.005493164063
             677776.5;        7184162.5;    -104.239120483398
            677776.75;        7184162.5;    -73.8899917602539
               677777;        7184162.5;    -47.7027587890625
            677777.25;        7184162.5;    -24.1880493164063
             677777.5;        7184162.5;    -5.01790380477905
               677773;       7184162.75;    -25.9302368164063
            677773.25;       7184162.75;    -15.6568975448608
             677773.5;       7184162.75;    -9.98487758636475
            677773.75;       7184162.75;    -9.78920364379883
               677774;       7184162.75;    -11.5887317657471
            677774.25;       7184162.75;    -12.9942474365234
             677774.5;       7184162.75;    -17.9487113952637
            677774.75;       7184162.75;    -35.0495491027832
               677775;       7184162.75;    -74.2550659179688
            677775.25;       7184162.75;    -129.357604980469
             677775.5;       7184162.75;     -170.43879699707
