X,Y,MAGNIV
677771.5,7184155.25,36.0531158447266
677771.25,7184155.5,37.0096321105957
677771.5,7184155.5,36.5779190063477
677771.75,7184155.5,36.5625762939453
677771.0,7184155.75,37.9769325256348
677771.25,7184155.75,37.3159942626953
677771.5,7184155.75,36.8990211486816
677771.75,7184155.75,37.0162658691406
677772.0,7184155.75,37.3144950866699
677772.25,7184155.75,37.6451377868652
677772.5,7184155.75,37.8867492675781
677772.75,7184155.75,37.9503479003906
677773.0,7184155.75,37.8955688476563
677771.0,7184156.0,38.169189453125
677771.25,7184156.0,37.647819519043
677771.5,7184156.0,37.3856239318848
677771.75,7184156.0,37.5124740600586
677772.0,7184156.0,37.8476638793945
677772.25,7184156.0,38.2317276000977
677772.5,7184156.0,38.4999160766602
677772.75,7184156.0,38.4635772705078
677773.0,7184156.0,38.279239654541
677773.25,7184156.0,38.111442565918
677773.5,7184156.0,37.9295043945313
677771.0,7184156.25,38.2847518920898
677771.25,7184156.25,37.8937034606934
677771.5,7184156.25,37.7600746154785
677771.75,7184156.25,37.929443359375
677772.0,7184156.25,38.3053817749023
677772.25,7184156.25,38.7552032470703
677772.5,7184156.25,39.095027923584
677772.75,7184156.25,38.952880859375
677773.0,7184156.25,38.6344413757324
677773.25,7184156.25,38.4190330505371
677773.5,7184156.25,38.1814460754395
677773.75,7184156.25,37.9960784912109
677774.0,7184156.25,37.762767791748
677774.25,7184156.25,37.4951133728027
677771.0,7184156.5,38.2571220397949
677771.25,7184156.5,37.9797172546387
677771.5,7184156.5,37.9499778747559
677771.75,7184156.5,38.1799964904785
677772.0,7184156.5,38.5944671630859
677772.25,7184156.5,39.0490455627441
677772.5,7184156.5,39.3758735656738
677772.75,7184156.5,39.370849609375
677773.0,7184156.5,39.1433601379395
677773.25,7184156.5,38.8476219177246
677773.5,7184156.5,38.5022354125977
677773.75,7184156.5,38.3117942810059
677774.0,7184156.5,38.0333824157715
677774.25,7184156.5,37.7221069335938
677774.5,7184156.5,37.588565826416
677770.75,7184156.75,38.4455490112305
677771.0,7184156.75,38.0170059204102
677771.25,7184156.75,37.8509178161621
677771.5,7184156.75,37.9209899902344
677771.75,7184156.75,38.2303733825684
677772.0,7184156.75,38.7043151855469
677772.25,7184156.75,39.1917114257813
677772.5,7184156.75,39.5839538574219
677772.75,7184156.75,39.7516860961914
677773.0,7184156.75,39.678897857666
677773.25,7184156.75,39.4311103820801
677773.5,7184156.75,39.1133575439453
677773.75,7184156.75,38.8314170837402
677774.0,7184156.75,38.4723701477051
677774.25,7184156.75,38.092643737793
677774.5,7184156.75,38.0364990234375
677774.75,7184156.75,37.9353446960449
677775.0,7184156.75,37.7322692871094
677775.25,7184156.75,37.5465202331543
677770.75,7184157.0,37.8811531066895
677771.0,7184157.0,37.5178375244141
677771.25,7184157.0,37.4594802856445
677771.5,7184157.0,37.6300888061523
677771.75,7184157.0,38.0239334106445
677772.0,7184157.0,38.5857467651367
677772.25,7184157.0,39.1489410400391
677772.5,7184157.0,39.6711959838867
677772.75,7184157.0,40.0404434204102
677773.0,7184157.0,40.1619873046875
677773.25,7184157.0,40.007740020752
677773.5,7184157.0,39.7442817687988
677773.75,7184157.0,39.4732894897461
677774.0,7184157.0,39.1768112182617
677774.25,7184157.0,38.9171104431152
677774.5,7184157.0,38.8061065673828
677774.75,7184157.0,38.6157188415527
677775.0,7184157.0,38.2851982116699
677775.25,7184157.0,37.9711074829102
677775.5,7184157.0,37.9631538391113
677775.75,7184157.0,38.0675392150879
677776.0,7184157.0,38.189323425293
677776.25,7184157.0,38.3309555053711
677770.75,7184157.25,37.061408996582
677771.0,7184157.25,36.7948951721191
677771.25,7184157.25,36.8258285522461
677771.5,7184157.25,37.022777557373
677771.75,7184157.25,37.4106826782227
677772.0,7184157.25,38.0325965881348
677772.25,7184157.25,38.7495994567871
677772.5,7184157.25,39.4789085388184
677772.75,7184157.25,40.1044616699219
677773.0,7184157.25,40.4873657226563
677773.25,7184157.25,40.4252777099609
677773.5,7184157.25,40.2428092956543
