,LESTE,NORTE,ANOM,DX1,DY1,DZ1
0,652198,7284826,0.0,-4.0007946846751376e-20,-3.917527381051139e-19,-0.00032683210976434
1,652298,7284826,0.0,-1.3375351726003354e-19,-4.811147140404426e-19,-0.00032668058452371327
2,652398,7284826,0.0,-9.80669691256081e-20,-2.976262018414798e-19,-0.00032635179587968963
3,652498,7284826,0.0,-2.1280871395418521e-19,-6.345600263914794e-19,-0.0003260454830275837
4,652598,7284826,0.0,-2.1179661392529804e-19,-1.520424140321469e-19,-0.00032599008540816775
5,652698,7284826,0.0,-1.7210222223624762e-19,-1.6702430928670735e-19,-0.000326209450107102
6,652798,7284826,0.0,-2.72127629577475e-19,-1.5924219408380846e-19,-0.0003265239328655126
7,652898,7284826,0.0,-3.047916314793992e-19,-5.823351512373315e-21,-0.00032668285698307263
8,652998,7284826,0.0,-6.999901266560536e-20,1.7660636950252162e-19,-0.00032660557967643174
9,653098,7284826,0.0,-1.4304430930344778e-19,3.070494433796839e-20,-0.0003264644664484557
10,653198,7284826,0.0,-2.268457047804237e-19,3.731180132655193e-19,-0.00032653846409085605
11,653298,7284826,0.0,-2.704972785158578e-19,5.11819658378411e-19,-0.0003269860994161226
12,653398,7284826,0.0,-2.484160481611709e-19,3.570243872676876e-19,-0.0003276581041028447
13,653498,7284826,0.0,4.188043118878117e-20,-2.0117032497289633e-19,-0.0003282442504863171
14,653598,7284826,0.0,-1.2049962215888196e-19,-3.765061450545365e-19,-0.0003285151601893734
15,653698,7284826,0.0,-3.7324347664397904e-20,-5.412540532954979e-19,-0.0003285987355334189
16,653798,7284826,0.0,-2.0430555484455923e-20,-3.80741309790808e-19,-0.00032890354298706397
17,653898,7284826,0.0,-2.16288488779767e-19,-2.761327408049019e-19,-0.00032979140743279265
18,653998,7284826,0.0,-3.062270487989397e-19,-2.526275765185951e-19,-0.0003312356013431345
19,654098,7284826,0.0,-2.7411760086977785e-19,-8.718086609614886e-19,-0.0003327218061354909
20,654198,7284826,0.0,-1.6687604148573237e-19,-7.538593230563273e-19,-0.0003337297479215204
21,654298,7284826,0.0,-1.164431884901062e-19,-1.0518031622530274e-18,-0.00033422391993522964
22,654398,7284826,0.0,-3.291475804885171e-19,-7.716470149486676e-19,-0.0003350638309504016
23,654498,7284826,0.0,-3.163761339494157e-19,-1.244926674227008e-18,-0.00033747222541377734
24,654598,7284826,0.0,-2.8482071620800297e-19,-9.469828350303078e-19,-0.00034204250199309453
25,654698,7284826,0.0,-3.313855892529191e-19,-1.3319593095573873e-18,-0.00034775301514453847
26,654798,7284826,0.0,-4.97907316587699e-19,-1.1612821706856458e-18,-0.0003519599905792384
27,654898,7284826,0.0,-3.4110674012463906e-19,5.018393859698023e-06,-0.00035305307893595227
28,654998,7284826,0.0,-1.5762004252419199e-19,1.3907333502096552e-05,-0.0003543692748469645
29,655098,7284826,0.0,-2.6947754004486197e-19,6.389776703368578e-05,-0.000375794623910577
30,655198,7284826,0.0,-3.309168865980725e-19,0.00016576132933388953,-0.0004479881689625609
31,655298,7284826,0.0,-2.963733700462542e-19,0.00017251859171308798,-0.0005594814969995977
32,655398,7284826,0.0,-3.9582055838105804e-19,8.036268117973987e-05,-0.0006632123109920347
33,655498,7284826,0.0,-3.6913773764195946e-19,0.00011784622530607993,-0.0007637665014284567
34,655598,7284826,0.0,-4.545359520442149e-19,0.00022322912709552833,-0.0008614109919546912
35,655698,7284826,0.0,-4.359077520742479e-19,0.00024453125984652313,-0.0009569481066996745
36,655798,7284826,0.0,-4.019024959663861e-19,0.00015915565343362737,-0.001055995929771998
37,655898,7284826,0.0,-4.900011088093054e-19,0.00015810458969037534,-0.0011626068802700164
38,655998,7284826,0.0,-3.5305184234785775e-19,0.00017141136597510423,-0.001265739610388643
39,656098,7284826,0.0,-5.072038261049437e-19,0.00013953828553297598,-0.0013659437469575612
40,656198,7284826,0.0,-5.380219393320214e-19,0.0001655046457454975,-0.0014367154641101866
41,656298,7284826,0.0,-6.156342952530728e-19,0.00015192209651847876,-0.0014581225289102978
42,656398,7284826,0.0,-3.455300577939284e-19,0.00015824044452804776,-0.0014604031104253048
43,656498,7284826,0.0,-3.734800755755576e-19,0.0001439825911197756,-0.00146192172316899
44,656598,7284826,0.0,-6.38142717526121e-19,0.00015142746751107766,-0.0014666698061146252
45,656698,7284826,0.0,-4.433201485231812e-19,0.00017643023842199828,-0.001474731296207747
46,656798,7284826,0.0,-4.2111616350573343e-19,0.00015644586137077658,-0.0014849447529782388
47,656898,7284826,0.0,-3.3748874417925055e-19,0.0001490009849794746,-0.0014927469567526644
48,656998,7284826,0.0,-4.298352554733245e-19,0.00015938829260504805,-0.0014960386744408615
49,657098,7284826,0.0,-5.420328338443401e-19,0.0001533047650665953,-0.001495656910888607
50,657198,7284826,0.0,-5.53164920242772e-19,0.00014750168110151782,-0.001501370158584176
51,657298,7284826,0.0,-4.38603456229417e-19,9.556508956031146e-05,-0.0015416403972977727
52,657398,7284826,0.0,-4.327235245796911e-19,2.7150775395882436e-05,-0.0016355109821304002
53,657498,7284826,0.0,-4.0282598299009853e-19,-2.1495876365351337e-05,-0.0017461871171391538
54,657598,7284826,0.0,-4.484134852938852e-19,0.00010441530015226079,-0.0018542557114017214
55,657698,7284826,0.0,-3.357266082492956e-19,0.00013084406777649652,-0.001954606649065429
56,657798,7284826,0.0,-2.7474628070522674e-19,-8.190837739568431e-05,-0.0020509389457461264
57,657898,7284826,0.0,-2.2628514267132426e-19,4.112839575554479e-05,-0.002152836881033223
58,657998,7284826,0.0,-3.186911910416582e-19,9.420541780393168e-05,-0.0022555719532432583
59,658098,7284826,0.0,-3.2758976322401787e-19,0.00013323339182234645,-0.002365864474983918
60,658198,7284826,0.0,1.788368988782502e-21,4.750450757108992e-05,-0.002487288855479743
61,658298,7284826,0.0,1.2116743418372629e-20,0.00011228204160098726,-0.0025836538620154967
